Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;;;Renta neta media por persona;2022;18.632
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por persona;2022;20.587
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por persona;2022;21.383
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por persona;2022;25.407
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por persona;2022;28.140
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por persona;2022;30.506
28079 Madrid;2807906 Madrid distrito 06;;Renta neta media por persona;2022;18.062
28079 Madrid;2807907 Madrid distrito 07;;Renta neta media por persona;2022;27.076
28079 Madrid;2807908 Madrid distrito 08;;Renta neta media por persona;2022;21.947
28079 Madrid;2807909 Madrid distrito 09;;Renta neta media por persona;2022;26.694
28079 Madrid;2807910 Madrid distrito 10;;Renta neta media por persona;2022;14.375
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2022;12.764
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2022;11.430
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2022;11.452
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2022;16.437
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2022;17.808
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2022;21.766
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2022;11.563
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2022;14.274
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por persona;2022;14.832
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por persona;2022;15.902
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por persona;2022;20.788
